,MSE,NMSE,NRMSD,PSNR,RMSD,basis_count,e_cur,runtime
0,6042.143561346257,0.22931886903256787,0.012864842689449272,10.318893209700734,77.73122642378839,1,1682.6307715649052,0.006124091916717589
1,2743.764729355504,0.09254906191927671,0.01909090715305765,13.74733491851865,52.38095769796028,2,1192.136548193693,0.009547073976136744
2,3210.795566054504,0.11003575455727722,0.01764792594590705,13.064677063013686,56.66388237717659,3,1196.1629704240602,0.013836815021932125
3,2820.9426582644596,0.09540067946374882,0.01882794282728124,13.626861025935904,53.11254708884201,4,1140.4599106070668,0.01910935901105404
4,2573.5643543271467,0.0863125684907036,0.019712081390457013,14.02545328215772,50.73031001607566,5,1083.6447381685796,0.026634706067852676
5,2532.9652390262445,0.08483543603448711,0.01986942892624556,14.094511310468354,50.328572789482564,6,1077.9025112174918,0.028787063900381327
6,2393.18730514181,0.07978042470676501,0.020441447922210004,14.341036704424624,48.92021366615042,7,1011.4305694565771,0.03248051309492439
7,2324.426933641331,0.07731098199796732,0.02074159024732271,14.467644618072326,48.21231101742926,8,1012.5465889870012,0.03684064105618745
8,2298.1547587091686,0.07637042942480776,0.020859810776896276,14.517010899576091,47.93907340269698,9,959.576421105712,0.0434084830339998
9,2134.661700674784,0.07055403470653474,0.02164389761667911,14.83751302664505,46.20239929565113,10,956.0733672487233,0.04920658399350941
10,2006.7973502815014,0.0660487799875843,0.022322778016264724,15.105768419419762,44.7972917739622,11,942.1815800561446,0.052524789003655314
11,2077.22469975706,0.06852556060704013,0.021941093138152082,14.95596882827609,45.57658060623965,12,916.3476897125578,0.062004902050830424
12,1949.5489608833711,0.06404391972316606,0.022648160117994712,15.231462143552058,44.153697023956795,13,915.1297356946101,0.06425096292514354
13,1917.5909492622225,0.06292801436808249,0.02283610411500682,15.303243896414106,43.790306567346875,14,888.3017117059497,0.06947521702386439
14,1856.9932795796562,0.06081848750429662,0.023205708577791622,15.442700288280504,43.092844876843024,15,897.0717380573268,0.07735884201247245
15,1864.5209675794474,0.06108008588891917,0.023158816638931035,15.425130892591596,43.180099207614695,16,887.4246475866921,0.08182106597814709
16,1850.1336532449964,0.06058021755928579,0.023248687963231648,15.458772579945366,43.01317999456674,17,873.8600152769407,0.09310021193232387
17,1796.9849529115359,0.058737712208689244,0.02358999124605865,15.585359203170047,42.39085930848225,18,868.58088260801,0.09421121899504215
18,1758.0906786970893,0.05739341635131128,0.02384950470956203,15.680390895373515,41.92959192142334,19,862.0429756137394,0.10295162803959101
19,1732.5381096631152,0.05651210400775692,0.024024734771589024,15.743975645483559,41.62376856632656,20,860.3994865424798,0.11046809505205601
20,1723.548187698387,0.056202389358160576,0.02408730905561868,15.766569307630792,41.51563786934252,21,848.3232536226271,0.1173474199604243
21,1691.6443868893334,0.055104725556391676,0.02431338706216374,15.847712888336948,41.129604749977034,22,845.0247185843741,0.11997964698821306
22,1628.059343722487,0.05292384588867363,0.024783628153556322,16.014101297364157,40.34921738674106,23,830.8713924712011,0.12843462894670665
23,1633.4072244093977,0.053106923544272884,0.02474302329141084,15.999858887667687,40.415432997920455,24,832.5112305899617,0.13975862599909306
24,1577.6888471296045,0.05120259640734712,0.02517615027940121,16.15059005403365,39.720131509470164,25,818.8192570389416,0.14325192605610937
25,1603.1353940843708,0.052071446236515995,0.02497554067611029,16.081101582763257,40.03917324426631,26,826.2548182713172,0.1480436830315739
26,1541.05723673359,0.049954359380441404,0.025473617031949683,16.252615916264965,39.256301872866096,27,806.2656164915272,0.15827343903947622
27,1537.9897154778296,0.04984996684533357,0.025499007948654517,16.26126929515737,39.21721197991807,28,807.7624839616146,0.16111930401530117
28,1521.6677158123143,0.049294852629205445,0.02563539931515764,16.307605342837334,39.008559519832495,29,800.0040903032393,0.17203393403906375
29,1496.2353185252634,0.04843106113300571,0.02585235131192631,16.380804588500986,38.68120109982708,30,796.8326451053155,0.1797046409919858
30,1504.517663043409,0.04871220829122882,0.025781094729683974,16.35683070142919,38.78811239340487,31,791.4907539389005,0.1862692020367831
31,1446.3090370165405,0.04673948359330573,0.026294774461549774,16.52819261041404,38.03036993005117,32,789.8382452278634,0.1950531010515988
32,1432.121625985154,0.04625978825824745,0.026424698970633265,16.571004579441492,37.843382855991536,33,787.147406609709,0.2033959690015763
33,1439.0206219879924,0.04649299760780547,0.02636127982401468,16.55013343198561,37.93442528875312,34,781.4222670009636,0.21014581504277885
34,1417.6299988682297,0.04577026066621034,0.026559417909331827,16.615174659996764,37.65142758074692,35,769.5867714606109,0.21987608703784645
35,1404.7587671334957,0.04533585403421732,0.026680817018587308,16.654786096501326,37.48011162114509,36,768.1858637277141,0.23121974698733538
36,1389.8288210812325,0.04483241727010783,0.026823740766023518,16.70119047403627,37.280408005831056,37,768.8555959970776,0.23353855998720974
37,1385.4615794739286,0.044685245835833436,0.02686598429958325,16.714858740941715,37.22178904182238,38,767.5107505418912,0.24353202304337174
38,1362.1818721627262,0.043901443274105945,0.027094581778007026,16.788452644486156,36.907748131831696,39,762.191537173966,0.2691536779748276
39,1355.3724645112432,0.0436724001626522,0.02716255825955437,16.810217025182318,36.81538353068243,40,755.2974275336645,0.26425584603566676
40,1308.0074331044655,0.042081993729833456,0.02764998461589005,16.964701488773066,36.1663854028083,41,757.0442552435486,0.27901087200734764
41,1287.0920165728514,0.04138124492587208,0.027873737241133612,17.03470764343236,35.87606467511245,42,745.4682495334895,0.29706093203276396
42,1298.177876414955,0.041752547457291705,0.027754467427799006,16.99746157268904,36.03023558644816,43,738.9841872841283,0.29180479899514467
43,1290.373703566027,0.041491132019652786,0.027838270339806945,17.02364856853198,35.92177199924896,44,738.0170997789087,0.30036741797812283
44,1273.3248722867722,0.04092050549294438,0.028024017067524026,17.08141138485844,35.68367795346735,45,732.7229598226776,0.3119338160613552
45,1262.6629554986218,0.040563967480293256,0.02814208564678458,17.117929217152902,35.53396903666437,46,729.4080125972579,0.3286875159246847
46,1223.4098047065718,0.03925343141650764,0.028589991197279216,17.255084041495646,34.97727554722597,47,732.14702204394,0.3336845909943804
47,1214.8498417176029,0.03896808017741866,0.02869053847194517,17.285577594303078,34.85469612143539,48,729.5734880900231,0.34008666907902807
48,1216.1573122736393,0.039011655312841946,0.028675111963600026,17.280906054759843,34.87344709479749,49,722.1623332680476,0.35083152598235756
49,1180.2389220098091,0.03781590140598261,0.029108178778260194,17.411104281319886,34.35460554292261,50,723.4913433406547,0.3614878230728209
50,1158.3129934794395,0.03708732040351466,0.029382384384850132,17.492544327597415,34.033997612379295,51,719.8059855709994,0.3791067119454965
51,1165.7592636294032,0.03733463924120428,0.029288394280259377,17.464714856350994,34.143216949042795,52,717.7332027679677,0.3891660050721839
52,1118.6887554618656,0.03577323033117686,0.029898222091245725,17.643710880907808,33.44680486177814,53,715.95210317628,0.393926560995169
53,1126.3918753324656,0.03602843417837223,0.02979581337198322,17.613908516258064,33.56176210112433,54,704.7811151169026,0.40563610091339797
54,1101.336552713199,0.03519881335692021,0.03013283359678536,17.71160307426334,33.18639107696404,55,704.552086192205,0.42941670899745077
55,1081.9164683038045,0.03455669752356676,0.030402068576231903,17.788866294459005,32.892498663126894,56,705.6297820661645,0.4277943919878453
56,1076.8563975293387,0.034389519493638845,0.030473413430374494,17.809225683580014,32.81549020705525,57,697.7932607522009,0.4508422479266301
57,1080.158119974096,0.034498597899834955,0.030426803699670758,17.795930261163534,32.865759081057234,58,690.6710418707972,0.547248390968889
58,1061.007100149895,0.033866229200460264,0.03070017527055974,17.873620707030422,32.573103937910105,59,695.377613612417,0.5842101160669699
59,1039.9266929926466,0.03317104519031063,0.031009776567484288,17.96077634983438,32.2478943962648,60,692.5872815137059,0.5758621210698038
60,1030.9900625864,0.03287661748576711,0.031143883085549173,17.998258816025217,32.10903397155386,61,696.2969003627959,0.5761394730070606
61,1021.2032170882817,0.03255437090997494,0.03129276313754748,18.039681865791287,31.956270387645077,62,689.0118178235743,0.5985260950401425
62,1021.5439709979054,0.03256558736521283,0.0312875435772291,18.038232958703105,31.961601508652617,63,687.2531243968664,0.6102717489702627
63,990.5260704984842,0.031545581492275404,0.03177364542054553,18.172144502769076,31.472624143825126,64,683.226248721954,0.6272835800191388
64,989.361397883292,0.031507321153993066,0.03179234182935527,18.177253994661147,31.454115754274387,65,675.0219458694745,0.6421394469216466
65,971.8715000180888,0.030933106491304437,0.03207713534981052,18.25471514174425,31.17485364870361,66,670.9824662165108,0.585934006026946
66,962.5716759738818,0.030628042198991973,0.03223171845878042,18.296472826136544,31.025339256386573,67,666.9528080817404,0.6270735110156238
67,953.1438099995622,0.03031896195160684,0.032390733591849775,18.339219290886035,30.873027224416496,68,668.7061876150451,0.6661651870235801
68,932.8909874836628,0.029655626131347323,0.03274044299010836,18.43249463424035,30.543264191694753,69,663.6323964919377,0.646599477971904
69,929.1236497941433,0.02953232963380162,0.03280675253137148,18.450068461747616,30.48152964984112,70,653.665629235087,0.6304110779892653
70,899.4155913475311,0.028561085181052867,0.033344160989218385,18.591199490863893,29.990258274105127,71,659.9197958741954,0.7395103380549699
71,879.833150022607,0.027921878601814665,0.03371318932289616,18.68680039734602,29.66198155927225,72,655.9484183404486,0.6873834029538557
72,867.1925197479928,0.027509687163001686,0.033958010514761966,18.74964837806187,29.448132703925268,73,651.4495670540305,0.6828028759919107
73,851.9140135040199,0.02701191969589152,0.03426116440675751,18.826845986660672,29.18756607708186,74,650.0919827396708,0.6964142540236935
74,830.3347910312737,0.02630969853390238,0.03470350838046121,18.93827125622785,28.815530379142317,75,640.2763985041405,0.7873604480409995
75,827.4205197773912,0.026214937248997382,0.034764569556887275,18.953540738037187,28.764918212596942,76,645.2025909244019,0.8271664549829438
76,838.0353750114737,0.026560177182203246,0.03454369769314684,18.89818009483431,28.948840650559283,77,638.3263576728054,0.7767488429090008
77,809.6851264267176,0.02563862516174887,0.03514324977732859,19.04764199324387,28.454966639002016,78,635.6372125587509,0.7567622161004692
78,788.0237400299603,0.024935615319172228,0.03562298839215134,19.165410596109588,28.071760543826965,79,634.7488317359298,0.7695408670697361
79,798.5147203448183,0.02527597463421063,0.0353882051844691,19.107974342498895,28.25800276638139,80,626.9951119904784,0.8229572009295225
80,785.3393588475061,0.024848562133190862,0.03568381821244689,19.18022997336451,28.023906916194004,81,626.2273934735283,0.8554847920313478
