,MSE,NMSE,NRMSD,PSNR,RMSD,basis_count,runtime
0,3171.592022863501,0.2798235477377573,0.01775666255799601,13.118030440175952,56.31688932161915,1,0.0016932080034166574
1,1992.600125827334,0.15923922970712556,0.022402161474501643,15.13660207461353,44.63854977289623,2,0.0023653459502384067
2,1307.7713289613907,0.0990880151537399,0.02765248045792037,16.965485490296878,36.16312111753341,3,0.0036468819016590714
3,892.1564976397074,0.06553376255087003,0.03347953971587378,18.626393180390142,29.86898889550343,4,0.004101736005395651
4,451.1027250848741,0.03209611283229747,0.04708279917297947,21.588049102150038,21.2391790115549,5,0.004948936984874308
5,399.0806244596664,0.02829001025278514,0.0500575602142723,22.120197177606997,19.977002389239143,6,0.006516274064779282
6,333.62232397379955,0.02354057196057084,0.054748528173855796,22.898252575884893,18.26533120350681,7,0.00721849303226918
7,210.78581003244557,0.014745356906622445,0.06887780752114064,24.89238989773486,14.518464451602503,8,0.008175363996997476
8,219.63719694409033,0.015374068271079159,0.06747564640932767,24.71374468352343,14.820161839335302,9,0.009160590940155089
9,119.76349881941297,0.008324953864566711,0.09137718237542841,27.347558856924987,10.943651073540904,10,0.010448744054883718
10,107.66341947068192,0.007477568490313555,0.09637533826781244,27.81012191651805,10.376098470556354,11,0.011727403034456074
11,90.01528827794137,0.006244195759342383,0.10540030355722303,28.587640841966216,9.48763870928596,12,0.01267733599524945
12,82.93895060678088,0.005750500406522468,0.10980464999194338,28.94321824758739,9.107082442076655,13,0.014196363976225257
13,86.47555690484967,0.00599717849877238,0.10753586088285906,28.761869933046754,9.299223457087676,14,0.015444130054675043
14,53.183183179485745,0.0036798182100597743,0.13712379879345443,30.873060332143485,7.292680109499233,15,0.015961930039338768
15,62.36550365720488,0.00431789902305593,0.1266274271916595,30.181359268577577,7.897183273623886,16,0.017753747990354896
16,59.60692735460735,0.004126119906676574,0.12952441289452546,30.377836256737663,7.7205522700521465,17,0.019581214990466833
17,44.79578643647622,0.003097684899097927,0.1494106025715817,31.618431953842254,6.692965444141798,18,0.01996967801824212
18,44.293360936503234,0.003062835131522553,0.15025560527897214,31.667417254962672,6.655325757354273,19,0.021042463020421565
19,33.268069580704044,0.0022986963789649968,0.17337489035504308,32.91052759721698,5.767847915878508,20,0.022149162949062884
20,30.359015098824344,0.002097270278691154,0.1814914460433636,33.30792682711793,5.509901550737939,21,0.024452839978039265
21,24.381131109679426,0.001683609091475321,0.20252240451410342,34.260265109679445,4.937725297105888,22,0.027109083952382207
22,16.104721327916977,0.0011114565530401183,0.24918585891869627,36.06127146570629,4.013068816743238,23,0.031183959916234016
23,16.912083939035202,0.0011672411809511508,0.2431652085192836,35.84883235383666,4.112430417531122,24,0.0310813250252977
24,11.732757675100942,0.000809484166397203,0.2919442658012554,37.436802598929795,3.4253113252813883,25,0.03084183600731194
25,10.929742908377975,0.0007540395809294706,0.30247885943113034,37.74470414360655,3.3060161688016554,26,0.03398594993632287
26,10.006001068894038,0.0006902669274958847,0.316132923470949,38.1281981592688,3.163226370162913,27,0.03342612006235868
27,10.441418062746092,0.0007203259336123021,0.3094712133076639,37.94320876090214,3.231318316530591,28,0.033518689102493227
28,8.668659658564355,0.0005979548714022458,0.3396440601117149,38.751284084769594,2.94425876216143,29,0.03527601493988186
29,7.294688347514245,0.000503132115559291,0.3702513314193298,39.50073618695474,2.70086807295622,30,0.036265771952457726
30,6.267609746567916,0.0004322614246544679,0.399437676116942,40.15978413624722,2.503519471976984,31,0.037805074942298234
31,6.031114830868025,0.00041594417544684066,0.40719384177771184,40.32682763463519,2.4558328181836857,32,0.038876143051311374
32,5.198000582836819,0.00035846670274296077,0.4386133418996271,40.972440370067254,2.2799124068342667,33,0.04042612109333277
33,5.240222192820999,0.00036137945940146695,0.4368427666608882,40.93730658794442,2.289153160629712,34,0.041665292927064
34,4.491648971986463,0.0003097398978650548,0.47184254302570866,41.60674552612011,2.119351073320903,35,0.04431708296760917
35,4.5162766388151585,0.00031143872757406305,0.4705542842491631,41.58299824640836,2.125153321248883,36,0.049956892034970224
36,3.7012082228796532,0.00025521793417298264,0.5197903839136642,42.44736842510469,1.9238524431150257,37,0.04803819197695702
37,3.618970792949036,0.0002495458121797238,0.5256630625246125,42.54495282736845,1.9023592702087153,38,0.0480117640690878
38,3.4651541231840515,0.00023893686300453313,0.5372033620815693,42.73357804933135,1.8614924451052848,39,0.04965120193082839
39,3.030694757461842,0.00020897281310023027,0.5744191382833891,43.31538163142823,1.7408890709812164,40,0.05111751600634307
40,2.984061383088259,0.00020575668170851795,0.5788901017410859,43.3827260840028,1.7274435976576077,41,0.05378675588872284
41,2.80557088376842,0.00019344704306437484,0.5970206832105766,43.650591150818336,1.6749838458231232,42,0.056736830971203744
42,2.587894093241135,0.00017843532283456643,0.6216225353655185,44.001338615382096,1.6086932874980038,43,0.0604798310669139
43,2.3353578034111178,0.0001610201394570934,0.6543698567856719,44.44726932007522,1.5281877513614346,44,0.05958000908140093
44,2.0429492942222596,0.00014085608113638087,0.6996344825325197,45.02822773243173,1.429317772303367,45,0.060149447061121464
45,1.8778714300206605,0.00012947291483244786,0.7297381858704677,45.39414506241329,1.3703544906412575,46,0.06139194406569004
46,1.6926851378489842,0.00011670345319401896,0.76862040455374,45.84504179848145,1.3010323354355895,47,0.06275406898930669
47,1.446946759954738,9.975914525062085e-05,0.8313305189609108,46.52627809212072,1.2028910008619809,48,0.06483514001592994
48,1.3501936093340197,9.308791838931043e-05,0.8606012567636231,46.82684312790237,1.1619783170670697,49,0.06747998902574182
